WKT,Type_id,Type_road,SHAPE_Leng,Name
"LINESTRING (422778.185600000433624 2932828.319299999624,422778.318099999800324 2932815.9908)",2,Cement,     12.32921199720,
"LINESTRING (422795.418899999931 2932828.054199999198,422795.418899999931 2932816.25599999912)",2,Cement,     11.79820000010,
"LINESTRING (422739.609400000423193 2932835.9417,422739.74199999962 2932807.838099999353)",2,Cement,     28.10391281960,
"LINESTRING (422756.3125 2932835.8092,422756.3125 2932807.9644)",2,Cement,     27.84479999910,
"LINESTRING (423544.140499999747 2932303.1421,423557.362700000405312 2932303.2177)",1,Metal,     13.22241612630,
"LINESTRING (423480.535000000149012 2931796.1675,423480.548700000159442 2931807.647199999541)",1,Metal,     11.47970817400,
"LINESTRING (423606.367600000463426 2931901.3453,423595.066100000403821 2931901.403899999335)",1,Metal,     11.30165192400,
"LINESTRING (423805.982300000265241 2931928.828199999407,423796.833700000308454 2931928.865599999204)",1,Metal,      9.14867644631,
"LINESTRING (423402.312099999748 2932684.3804,423402.619900000281632 2932631.7376)",4,Kaccha Path,     52.64369983800,
"LINESTRING (423402.466900000348687 2932657.900599999353,423491.138399999588728 2932658.21299999952)",4,Kaccha Path,     88.67205030830,
"LINESTRING (423508.957999999634922 2932658.8287,423641.228699999861419 2932658.6554)",4,Kaccha Path,    132.27081352800,
"LINESTRING (423536.657999999821186 2932658.7924,423536.646800000220537 2932567.5284)",4,Kaccha Path,     91.26400068770,
"LINESTRING (423576.005400000140071 2932722.7155,423576.240299999713898 2932658.740499999374)",4,Kaccha Path,     63.97543124670,
"LINESTRING (423685.130800000391901 2932659.906099999323,423748.086099999957 2932659.968399999663,423748.076799999923 2932516.7386,423745.766599999741 2932516.7232)",4,Kaccha Path,    208.49538245500,
"LINESTRING (423529.892400000244379 2932577.3804,423531.910699999891222 2932579.14499999955,423532.605200000107288 2932585.2572,423532.740399999544024 2932658.99469999969)",3,Brick,     82.57007674790,
"LINESTRING (423468.816800000146031 2932692.6662,423468.922600000165403 2932692.6247,423470.161091686226428 2932692.246994467452168,423470.376899999566376 2932692.2005,423472.174399999902 2932692.020199999213,423478.974600000306964 2932692.020199999213,423492.088700000196695 2932692.1205,423506.9062 2932694.83699999936,423508.88260000012815 2932695.1993,423508.916521547944285 2932695.205399776808918,423509.800355712766759 2932695.282725246623158,423510.684189877589233 2932695.205399776808918,423511.541169188567437 2932694.97577286278829,423512.345254762971308 2932694.600821601226926,423513.07201486750273 2932694.091938697732985,423513.411999999545515 2932693.7793,423515.549700000323355 2932691.626599999145,423522.590200000442564 2932684.536499999464,423532.836799999698997 2932680.266499999911,423533.577600000426173 2932670.388199999928,423532.740399999544024 2932658.99469999969)",3,Brick,     90.82317678850,
"LINESTRING (423533.1831 2932665.0192,423641.228699999861419 2932665.3256)",3,Brick,    108.04603445000,
"LINESTRING (423532.836799999698997 2932680.266499999911,423539.082100000232458 2932678.740599999204,423544.521099999547005 2932677.559399999678,423544.960699999704957 2932677.4778,423546.091779243608471 2932677.39085073210299,423547.376826944993809 2932677.503277838230133,423548.622829122294206 2932677.83714311523363,423549.509999999776483 2932678.2276,423550.138951892149635 2932678.595655884128064,423550.667700000107288 2932678.975299999118,423550.848442388523836 2932679.1221768646501,423551.760579289169982 2932680.034313765354455,423552.500467870093416 2932681.090984167531133,423553.045626991253812 2932682.260081675369292,423553.379492268606555 2932683.506083853542805,423553.468399999663234 2932684.2016,423553.49199999962 2932684.791699999943,423553.490299999713898 2932704.531099999323)",3,Brick,     44.94168903530,
"LINESTRING (423535.914800000376999 2932803.274199999869,423545.397199999541044 2932803.088899999857)",4,Kaccha Path,      9.48421034320,
"LINESTRING (423573.844600000418723 2932803.6434,423583.0307 2932803.651399999857)",4,Kaccha Path,      9.18610348311,
"LINESTRING (423575.9528 2932803.639799999073,423576.005400000140071 2932735.1797)",4,Kaccha Path,     68.46012020600,
